"Title","Url","LocalFile"
"关于印发《企业会计准则解释第16号》的通知","https://kjs.mof.gov.cn/gongzuotongzhi/202212/t20221212_3857395.htm","D:\ai-audit\knowledge-base\CPA-ZH\raw\standards\accounting\interpretations-pages\关于印发-企业会计准则解释第16号-的通知.html"
"关于印发《企业会计准则解释第1号》的通知","https://kjs.mof.gov.cn/zhengcefabu/200805/t20080522_33804.htm","D:\ai-audit\knowledge-base\CPA-ZH\raw\standards\accounting\interpretations-pages\关于印发-企业会计准则解释第1号-的通知.html"
"关于印发企业会计准则解释第2号的通知","https://kjs.mof.gov.cn/zhengcefabu/200809/t20080912_74645.htm","D:\ai-audit\knowledge-base\CPA-ZH\raw\standards\accounting\interpretations-pages\关于印发企业会计准则解释第2号的通知.html"
"关于印发企业会计准则解释第3号的通知","https://kjs.mof.gov.cn/zhengcefabu/200906/t20090625_172281.htm","D:\ai-audit\knowledge-base\CPA-ZH\raw\standards\accounting\interpretations-pages\关于印发企业会计准则解释第3号的通知.html"
"关于印发企业会计准则解释第4号的通知","https://kjs.mof.gov.cn/zhengcefabu/201008/t20100809_332092.htm","D:\ai-audit\knowledge-base\CPA-ZH\raw\standards\accounting\interpretations-pages\关于印发企业会计准则解释第4号的通知.html"
"关于印发企业会计准则解释第5号的通知","https://kjs.mof.gov.cn/zhengcefabu/201211/t20121122_701308.htm","D:\ai-audit\knowledge-base\CPA-ZH\raw\standards\accounting\interpretations-pages\关于印发企业会计准则解释第5号的通知.html"
"关于印发《企业会计准则解释第6号》的通知","https://kjs.mof.gov.cn/zhengcefabu/201401/t20140123_1038629.htm","D:\ai-audit\knowledge-base\CPA-ZH\raw\standards\accounting\interpretations-pages\关于印发-企业会计准则解释第6号-的通知.html"
"关于印发《企业会计准则解释第7号》的通知","https://kjs.mof.gov.cn/zhengcefabu/201511/t20151113_1559056.htm","D:\ai-audit\knowledge-base\CPA-ZH\raw\standards\accounting\interpretations-pages\关于印发-企业会计准则解释第7号-的通知.html"
"关于印发《企业会计准则解释第8号》的通知","https://kjs.mof.gov.cn/zhengcefabu/201601/t20160104_1643346.htm","D:\ai-audit\knowledge-base\CPA-ZH\raw\standards\accounting\interpretations-pages\关于印发-企业会计准则解释第8号-的通知.html"
"关于印发《企业会计准则解释第9号——关于权益法下投资净损失的会计处理》的通知","https://kjs.mof.gov.cn/zhengcefabu/201706/t20170621_2628433.htm","D:\ai-audit\knowledge-base\CPA-ZH\raw\standards\accounting\interpretations-pages\关于印发-企业会计准则解释第9号-关于权益法下投资净损失的会计处理-的通知.html"
"关于印发《企业会计准则解释第10号——关于以使用固定资产产生的收入为基础的折旧方法》的通知","https://kjs.mof.gov.cn/zhengcefabu/201706/t20170621_2628435.htm","D:\ai-audit\knowledge-base\CPA-ZH\raw\standards\accounting\interpretations-pages\关于印发-企业会计准则解释第10号-关于以使用固定资产产生的收入为基础的折旧方法-的通知.html"
"关于印发《企业会计准则解释第11号——关于以使用无形资产产生的收入为基础的摊销方法》的通知","https://kjs.mof.gov.cn/zhengcefabu/201706/t20170621_2628437.htm","D:\ai-audit\knowledge-base\CPA-ZH\raw\standards\accounting\interpretations-pages\关于印发-企业会计准则解释第11号-关于以使用无形资产产生的收入为基础的摊销方法-的通知.html"
"关于印发《企业会计准则解释第12号——关于关键管理人员服务的提供方与接受方是否为关联方》的通知","https://kjs.mof.gov.cn/zhengcefabu/201706/t20170621_2628439.htm","D:\ai-audit\knowledge-base\CPA-ZH\raw\standards\accounting\interpretations-pages\关于印发-企业会计准则解释第12号-关于关键管理人员服务的提供方与接受方是否为关联方-的通知.html"
"关于印发《企业会计准则解释第13号》的通知","https://kjs.mof.gov.cn/zhengcefabu/201912/t20191213_3441493.htm","D:\ai-audit\knowledge-base\CPA-ZH\raw\standards\accounting\interpretations-pages\关于印发-企业会计准则解释第13号-的通知.html"
"关于印发《企业会计准则解释第14号》的通知","https://kjs.mof.gov.cn/zhengcefabu/202102/t20210202_3653110.htm","D:\ai-audit\knowledge-base\CPA-ZH\raw\standards\accounting\interpretations-pages\关于印发-企业会计准则解释第14号-的通知.html"
"关于印发《企业会计准则解释第15号》的通知","https://kjs.mof.gov.cn/zhengcefabu/202112/t20211231_3779983.htm","D:\ai-audit\knowledge-base\CPA-ZH\raw\standards\accounting\interpretations-pages\关于印发-企业会计准则解释第15号-的通知.html"
"关于印发《企业会计准则解释第17号》的通知","https://kjs.mof.gov.cn/zhengcefabu/202311/t20231109_3915491.htm","D:\ai-audit\knowledge-base\CPA-ZH\raw\standards\accounting\interpretations-pages\关于印发-企业会计准则解释第17号-的通知.html"
"关于印发《企业会计准则解释第18号》的通知","https://kjs.mof.gov.cn/zhengcefabu/202412/t20241223_3950344.htm","D:\ai-audit\knowledge-base\CPA-ZH\raw\standards\accounting\interpretations-pages\关于印发-企业会计准则解释第18号-的通知.html"
"关于印发《企业会计准则解释第19号》的通知","https://kjs.mof.gov.cn/zhengcefabu/202512/t20251218_3979556.htm","D:\ai-audit\knowledge-base\CPA-ZH\raw\standards\accounting\interpretations-pages\关于印发-企业会计准则解释第19号-的通知.html"
"关于印发《企业会计准则解释第20号》的通知","https://kjs.mof.gov.cn/zhengcefabu/202606/t20260615_3991686.htm","D:\ai-audit\knowledge-base\CPA-ZH\raw\standards\accounting\interpretations-pages\关于印发-企业会计准则解释第20号-的通知.html"
